,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
62,AGC,AGC LTD,ORDINARY FULLY PAID,AU0000122194,#AGC,$AGC
63,AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7,#AGL,$AGL
64,AMN,AGRIMIN LTD,ORDINARY FULLY PAID,AU000000AMN1,#AMN,$AMN
65,AGR,AGUIA RES LTD,ORDINARY FULLY PAID,AU000000AGR4,#AGR,$AGR
66,AIM,AI-MEDIA TECHNOLOGIE,ORDINARY FULLY PAID,AU0000101636,#AIM,$AIM
67,A1M,AIC MINES LTD,ORDINARY FULLY PAID,AU0000049033,#A1M,$A1M
68,AGI,AINSWORTH GAME TECH.,ORDINARY FULLY PAID,AU000000AGI3,#AGI,$AGI
69,ART,AIRTASKER LIMITED,ORDINARY FULLY PAID,AU0000135998,#ART,$ART
70,AJL,AJ LUCAS GROUP,ORDINARY FULLY PAID,AU000000AJL1,#AJL,$AJL
71,AKO,AKORA RESOURCES,ORDINARY FULLY PAID,AU0000113698,#AKO,$AKO
72,AUQ,ALARA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AUQ7,#AUQ,$AUQ
73,ALB,ALBION RESOURCES,ORDINARY FULLY PAID,AU0000142002,#ALB,$ALB
74,ALY,ALCHEMY RESOURCE LTD,ORDINARY FULLY PAID,AU000000ALY0,#ALY,$ALY
75,ALC,ALCIDION GROUP LTD,ORDINARY FULLY PAID,AU000000ALC6,#ALC,$ALC
76,AL8,ALDERAN RESOURCE LTD,ORDINARY FULLY PAID,AU000000AL88,#AL8,$AL8
77,ARN,ALDORO RESOURCES,ORDINARY FULLY PAID,AU0000017733,#ARN,$ARN
78,AJX,ALEXIUM INT GROUP,ORDINARY FULLY PAID,AU000000AJX6,#AJX,$AJX
79,AQI,ALICANTO MIN LTD,ORDINARY FULLY PAID,AU000000AQI2,#AQI,$AQI
80,AQX,ALICE QUEEN LTD,ORDINARY FULLY PAID,AU000000AQX1,#AQX,$AQX
81,ALK,ALKANE RESOURCES LTD,ORDINARY FULLY PAID,AU000000ALK9,#ALK,$ALK
82,AHQ,ALLEGIANCE COAL LTD,ORDINARY FULLY PAID,AU000000AHQ4,#AHQ,$AHQ
83,AMT,ALLEGRA ORTHOPAEDICS,ORDINARY FULLY PAID,AU000000AMT8,#AMT,$AMT
84,AQZ,ALLIANCE AVIATION,ORDINARY FULLY PAID,AU000000AQZ6,#AQZ,$AQZ
85,AGS,ALLIANCE RESOURCES,ORDINARY FULLY PAID,AU000000AGS2,#AGS,$AGS
86,AGE,ALLIGATOR ENERGY,ORDINARY FULLY PAID,AU000000AGE2,#AGE,$AGE
87,ALO,ALLOGGIO GROUP,ORDINARY FULLY PAID,AU0000183915,#ALO,$ALO
